學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
131308,私立陸興高中,16,16,20,0,0,20
131311,私立美和高中,19,13,31,0,0,14
134304,縣立大同高中,14,14,9,0,0,12
134321,縣立枋寮高中,28,24,20,0,0,13
134324,縣立東港高中,4,3,7,0,0,2
134334,縣立來義高中,57,56,62,0,0,44
140301,國立臺東大學附屬體育高中,47,59,49,0,0,44
140302,國立臺東女中,66,64,64,0,0,78
140303,國立臺東高中,94,87,86,0,0,80
141301,臺東縣均一高中,20,5,8,0,0,4
141307,私立育仁高中,18,25,25,0,0,6
144322,縣立蘭嶼高中,22,21,18,0,0,12
150302,國立花蓮女中,62,88,82,0,0,85
150303,國立花蓮高中,78,83,113,0,0,66
150309,國立玉里高中,107,90,60,0,0,63
151306,私立海星高中,137,135,133,0,0,113
151307,私立四維高中,192,222,221,0,0,232
151312,財團法人慈濟大學附中,7,5,4,0,0,4
154301,花蓮縣立體育高中,33,17,26,0,0,29
154399,縣立南平中學,6,1,1,0,0,6
160302,國立馬公高中,0,0,2,0,0,2
170301,國立基隆女中,7,5,8,0,0,7
170302,國立基隆高中,2,1,4,0,0,3
171306,私立二信高中,9,6,4,0,0,8
171308,輔大聖心高中,10,4,3,0,0,6
173304,市立中山高中,2,4,6,0,0,4
173306,市立安樂高中,1,4,6,0,0,1
173307,市立暖暖高中,1,2,2,0,0,0
173314,市立八斗高中,17,9,19,0,0,13
180301,國立科學工業園區實驗高中,0,5,1,0,0,4
180302,國立新竹女中,13,13,15,0,0,18
180309,國立新竹高中,12,14,19,0,0,11
181305,私立光復高中,49,45,60,0,0,51
181306,私立曙光女中,5,4,3,0,0,0
181307,私立磐石高中,7,7,4,0,0,1
181308,私立世界高中,17,17,5,0,0,8
183306,市立成德高中,14,14,20,0,0,9
183307,市立香山高中,4,9,7,0,0,6
183313,市立建功高中,8,4,5,0,0,5
191301,私立東大附中,1,0,2,0,0,0
191302,私立葳格高中,1,2,0,0,0,4
191305,私立新民高中,35,35,33,0,1,45
191308,私立宜寧高中,6,7,15,0,0,7
191309,私立明德高中,12,24,20,0,0,24
191311,私立衛道高中,4,2,3,0,0,1
191313,私立曉明女中,1,2,0,0,0,1
191314,私立嶺東高中,17,18,16,0,0,20
193301,市立臺中女中,16,17,13,0,0,15
193302,市立臺中一中,23,25,17,0,0,16
193303,市立忠明高中,6,6,6,0,0,8
193313,市立西苑高中,10,13,11,0,1,6
193315,市立東山高中,13,11,14,0,0,11
193316,市立惠文高中,17,15,11,0,0,11
194303,市立臺中二中,17,20,21,0,0,17
194315,市立文華高中,18,15,14,0,0,17
200302,國立嘉義女中,3,2,2,0,0,4
200303,國立嘉義高中,6,3,11,0,0,4
201304,私立興華高中,0,3,1,0,0,5
201309,私立仁義高中,15,15,16,0,0,26
201310,私立嘉華高中,0,1,0,0,0,1
201312,私立輔仁高中,7,11,14,0,0,12
201313,私立宏仁女中,6,1,4,0,0,10
201314,私立立仁高中,18,7,6,0,0,9
210303,國立臺南二中,4,3,6,0,0,6
210305,國立臺南一中,6,10,7,0,0,4
210306,國立臺南女中,3,6,5,0,0,9
210309,國立家齊高中,8,6,9,0,0,10
211301,私立長榮高中,4,3,5,0,0,5
211302,私立長榮女中,5,7,4,0,0,4
211304,財團法人聖功女中,0,1,0,0,0,1
211310,臺南市光華高中,0,2,1,0,0,1
211314,私立六信高中,4,1,0,0,0,5
211315,私立瀛海高中,0,0,2,0,0,2
211317,私立崑山高中,1,7,2,0,0,3
211318,私立德光高中,0,0,0,0,0,4
211320,財團法人慈濟高中,2,0,1,0,0,0
213303,市立南寧高中,0,1,1,0,0,0
213316,市立土城高中,1,0,0,0,0,0
313301,市立西松高中,0,2,1,0,0,1
313302,市立中崙高中,1,1,4,0,0,4
321399,臺北市私立協和祐德高級中學,2,2,4,0,0,5
323301,市立松山高中,9,16,13,0,0,14
323302,市立永春高中,5,3,3,0,0,4
330301,國立師大附中,17,16,18,0,0,13
331301,私立延平中學,0,1,0,0,0,0
331302,私立金甌女中,5,3,8,0,0,2
333301,市立和平高中,4,6,5,0,0,2
341301,私立中興中學,0,0,2,0,0,4
341302,私立大同高中,0,2,0,0,0,0
343301,市立中山女中,4,19,9,0,0,8
343302,市立大同高中,7,10,7,0,0,7
343303,市立大直高中,2,4,1,0,0,2
351301,私立強恕中學,31,25,17,0,0,19
353301,市立建國中學,14,19,23,0,0,15
353302,市立成功中學,5,4,10,0,0,1
353303,市立北一女中,18,19,21,0,0,17
361301,私立靜修女中,0,0,1,0,0,2
363301,市立明倫高中,2,3,7,0,0,0
363302,市立成淵高中,8,4,9,0,0,5
371301,私立立人高中,0,0,0,0,0,1
373301,市立華江高中,7,11,5,0,0,4
373302,市立大理高中,5,7,10,0,0,8
380301,國立政大附中,1,3,3,0,0,1
381301,私立東山高中,0,1,2,0,0,0
381302,私立滬江高中,6,11,9,0,0,11
381303,私立大誠高中,3,1,3,0,0,5
381304,私立再興中學,2,2,0,0,0,1
381305,私立景文高中,7,7,5,0,0,4
383301,市立景美女中,14,6,9,0,0,10
383302,市立萬芳高中,2,4,9,0,0,4
393301,市立南港高中,2,3,6,0,0,2
393302,市立育成高中,3,6,6,0,0,8
401301,私立文德女中,0,0,1,0,0,0
401302,私立方濟中學,0,2,0,0,0,1
401303,私立達人女中,1,1,1,0,0,0
403301,市立內湖高中,6,7,6,0,0,1
403302,市立麗山高中,4,3,1,0,0,1
403303,市立南湖高中,9,10,9,0,0,11
411301,私立泰北高中,5,3,4,0,0,6
411302,私立衛理女中,0,0,1,0,0,0
413301,市立陽明高中,5,6,3,0,0,11
413302,市立百齡高中,1,1,3,0,0,2
421301,私立薇閣高中,0,0,0,0,0,2
421302,私立十信高中,2,0,2,0,0,2
421303,臺北市私立奎山實驗高級中學,0,1,0,0,0,0
423301,市立復興高中,6,11,5,0,0,7
423302,市立中正高中,7,8,7,0,0,4
521301,私立明誠高中,1,2,1,0,0,3
521303,私立大榮高中,10,5,17,0,0,9
523301,市立鼓山高中,6,4,5,0,0,3
533301,市立左營高中,10,14,7,0,0,6
533302,市立新莊高中,7,10,5,0,0,10
540301,國立中山大學附屬國光高中,2,6,5,0,0,4
543301,市立中山高中,9,5,4,0,0,6
543302,市立楠梓高中,5,2,2,0,0,3
551301,私立立志高中,20,3,12,0,0,22
553301,市立高雄中學,17,18,18,0,0,12
553302,市立三民高中,7,12,6,0,0,3
563301,市立新興高中,4,3,2,0,0,2
573301,市立高雄女中,19,15,21,0,0,18
580301,國立高師大附中,9,8,6,0,0,2
581301,私立復華高中,7,7,6,0,0,7
581302,天主教道明中學,3,0,6,0,0,3
583301,市立中正高中,3,5,5,0,0,2
593301,市立前鎮高中,10,10,11,0,0,3
593302,市立瑞祥高中,2,3,1,0,0,2
613301,市立小港高中,8,4,9,0,0,5
710301,國立金門高中,1,4,3,0,0,4
720301,國立馬祖高中,2,2,3,0,0,2
11405,私立樹人家商,64,41,48,0,0,38
11407,私立復興商工,9,18,16,2,1,21
11408,私立南強工商,28,18,39,0,0,44
11413,私立穀保家商,27,21,35,0,0,22
11419,私立開明工商,11,20,16,0,0,10
11420,私立智光商工,7,6,13,0,0,13
11421,私立清傳高商,0,0,0,0,0,2
