學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
400144,國立臺灣戲曲學院,5,6,4,0,0,7
140222,國立臺東專科學校,134,118,111,0,23,63
010301,國立華僑高級中等學校,10,9,18,0,0,7
011301,私立淡江高中,13,11,11,0,0,6
011302,私立康橋高中,0,0,0,0,0,1
011306,私立金陵女中,0,0,2,0,0,0
011309,財團法人南山高中,3,1,2,0,0,2
011310,財團法人恆毅高中,3,2,1,0,0,2
011311,私立聖心女中,0,0,0,0,0,1
011312,私立崇義高中,13,13,20,0,0,7
011314,財團法人中華高中,10,6,14,0,0,12
011315,私立東海高中,12,5,5,0,0,4
011316,私立格致高中,0,2,2,0,0,2
011317,私立醒吾高中,23,12,20,0,0,26
011318,私立徐匯高中,1,0,0,0,0,0
011322,財團法人崇光女中,1,0,0,0,0,2
011323,私立光仁高中,0,0,0,0,0,3
011324,私立竹林高中,1,3,3,0,0,0
011325,私立及人高中,3,0,0,0,0,1
011329,財團法人辭修高中,0,1,0,0,0,0
011399,私立時雨高中,1,1,1,0,0,0
013303,市立泰山高中,18,12,16,0,0,18
013304,市立板橋高中,13,12,13,0,0,8
013335,市立新店高中,14,8,9,0,0,9
013336,市立中和高中,8,9,14,0,0,7
013337,市立新莊高中,12,13,13,0,0,7
013338,市立新北高中,10,9,13,0,0,6
013339,市立林口高中,15,10,10,0,0,8
014302,市立海山高中,6,6,11,0,0,8
014311,市立三重高中,7,9,3,0,0,8
014315,市立永平高中,1,4,3,0,0,1
014322,市立樹林高中,41,36,41,0,0,27
014326,市立明德高中,16,12,12,0,0,16
014332,市立秀峰高中,21,15,12,0,0,6
014338,市立金山高中,19,19,21,0,1,10
014343,市立安康高中,11,7,8,0,0,9
014347,市立雙溪高中,1,3,1,0,0,2
014348,市立石碇高中,3,1,3,0,0,2
014353,市立丹鳳高中,12,12,5,0,0,11
014356,市立清水高中,6,8,6,0,0,5
014357,市立三民高中,14,6,8,0,0,8
014362,市立錦和高中,4,6,8,0,0,4
014363,市立光復高中,8,2,2,0,0,2
014364,市立竹圍高中,7,2,3,0,0,2
014381,市立北大高級中學,6,6,6,0,0,5
020301,國立蘭陽女中,11,19,19,0,0,14
020302,國立宜蘭高中,19,24,14,0,0,14
020308,國立羅東高中,24,16,18,0,1,12
021301,私立慧燈高中,0,3,5,0,0,1
021310,私立中道高中,6,8,12,0,0,11
024322,縣立南澳高中,61,45,60,0,0,35
024325,縣立慈心華德福實中,1,0,1,0,0,0
030302,國立龍潭高中,16,23,17,0,0,22
030304,國立桃園高中,29,30,29,0,0,18
030305,國立中央大學附屬中壢高中,20,14,19,0,0,18
030306,國立武陵高中,20,20,21,0,0,10
030316,國立楊梅高中,13,14,8,0,0,7
030325,國立陽明高中,26,25,22,0,0,9
030327,國立內壢高中,18,12,12,0,0,13
031301,私立漢英高中,4,3,2,0,0,8
031309,桃園市育達高中,76,78,75,0,0,63
