學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
400144,國立臺灣戲曲學院,5,4,7,0,0,6
140222,國立臺東專科學校,151,134,103,0,14,61
010301,國立華僑高級中等學校,9,18,7,0,0,9
011301,私立淡江高中,12,11,6,0,0,19
011302,私立康橋高中,1,0,1,0,0,0
011306,私立金陵女中,0,2,0,0,0,1
011309,財團法人南山高中,1,2,2,0,0,1
011310,財團法人恆毅高中,1,1,2,0,0,1
011311,私立聖心女中,1,0,1,0,0,2
011312,私立崇義高中,13,19,7,0,0,9
011314,財團法人中華高中,7,15,13,0,0,15
011315,私立東海高中,7,7,4,0,0,13
011316,私立格致高中,2,2,2,0,0,3
011317,私立醒吾高中,20,23,28,0,0,29
011318,私立徐匯高中,1,0,0,0,0,1
011322,財團法人崇光女中,1,0,2,0,0,1
011323,私立光仁高中,0,0,3,0,0,0
011324,私立竹林高中,4,3,0,0,0,3
011325,私立及人高中,0,0,1,0,0,1
011329,財團法人辭修高中,1,0,0,0,0,0
011399,私立時雨高中,1,1,0,0,0,0
013303,市立泰山高中,15,22,26,0,0,11
013304,市立板橋高中,12,13,8,0,0,9
013335,市立新店高中,8,9,11,0,0,10
013336,市立中和高中,9,13,8,0,0,11
013337,市立新莊高中,13,13,10,0,0,12
013338,市立新北高中,9,13,8,0,0,7
013339,市立林口高中,10,10,9,0,0,7
014302,市立海山高中,7,9,9,0,0,6
014311,市立三重高中,10,4,9,0,0,3
014315,市立永平高中,5,3,1,0,0,4
014322,市立樹林高中,38,40,41,0,0,26
014326,市立明德高中,12,11,16,0,0,12
014332,市立秀峰高中,15,12,8,0,0,6
014338,市立金山高中,21,22,14,0,0,13
014343,市立安康高中,6,8,7,0,0,5
014347,市立雙溪高中,3,1,2,0,0,2
014348,市立石碇高中,1,3,2,0,0,0
014353,市立丹鳳高中,11,6,12,0,0,4
014356,市立清水高中,5,6,7,0,0,6
014357,市立三民高中,6,8,8,0,0,5
014362,市立錦和高中,8,9,4,0,0,6
014363,市立光復高中,2,2,2,0,0,1
014364,市立竹圍高中,2,3,2,0,0,1
014381,市立北大高級中學,6,6,5,0,0,0
020301,國立蘭陽女中,19,19,14,0,0,13
020302,國立宜蘭高中,26,14,14,0,0,16
020308,國立羅東高中,18,18,15,0,0,17
021301,私立慧燈高中,3,5,1,0,0,2
021310,私立中道高中,3,13,11,0,0,12
024322,縣立南澳高中,46,68,43,0,0,35
024325,縣立慈心華德福實中,0,1,0,0,0,0
030302,國立龍潭高中,26,17,26,0,1,19
030304,國立桃園高中,31,30,19,0,0,22
030305,國立中央大學附屬中壢高中,15,19,19,0,0,18
030306,國立武陵高中,22,21,10,0,0,17
030316,國立楊梅高中,13,7,11,0,0,8
030325,國立陽明高中,24,22,11,0,0,10
