學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
400144,國立臺灣戲曲學院,3,7,5,0,0,3
140222,國立臺東專科學校,157,123,97,0,2,71
010301,國立華僑高級中等學校,15,8,10,0,0,10
011301,私立淡江高中,10,7,19,0,0,9
011302,私立康橋高中,0,1,0,0,0,0
011306,私立金陵女中,2,0,1,0,0,1
011309,財團法人南山高中,2,2,1,0,0,2
011310,財團法人恆毅高中,1,2,1,0,0,0
011311,私立聖心女中,0,0,2,0,0,1
011312,私立崇義高中,21,9,13,0,0,6
011314,財團法人中華高中,12,12,16,0,0,16
011315,私立東海高中,10,4,13,0,0,11
011316,私立格致高中,2,2,3,0,0,9
011317,私立醒吾高中,24,33,32,0,0,30
011318,私立徐匯高中,0,0,1,0,0,1
011322,財團法人崇光女中,0,1,1,0,0,1
011323,私立光仁高中,0,3,0,0,0,0
011324,私立竹林高中,3,0,3,0,0,3
011325,私立及人高中,0,1,1,0,0,2
011329,財團法人辭修高中,0,0,0,0,0,2
011399,私立時雨高中,1,0,0,0,0,0
013303,市立泰山高中,17,24,18,0,0,14
013304,市立板橋高中,13,8,9,0,0,13
013335,市立新店高中,8,11,10,0,0,12
013336,市立中和高中,12,8,13,0,0,11
013337,市立新莊高中,13,10,12,0,0,9
013338,市立新北高中,14,8,8,0,0,3
013339,市立林口高中,9,10,7,0,0,10
014302,市立海山高中,11,10,6,0,0,5
014311,市立三重高中,6,8,3,0,0,7
014315,市立永平高中,3,1,5,0,0,4
014322,市立樹林高中,42,46,26,0,0,42
014326,市立明德高中,10,16,12,0,0,5
014332,市立秀峰高中,18,8,7,0,0,7
014338,市立金山高中,29,14,13,0,0,17
014343,市立安康高中,11,9,5,0,0,9
014347,市立雙溪高中,0,2,2,0,0,2
014348,市立石碇高中,4,2,0,0,0,3
014353,市立丹鳳高中,9,11,5,0,0,4
014356,市立清水高中,7,8,6,0,0,7
014357,市立三民高中,8,8,5,0,0,7
014362,市立錦和高中,9,4,6,0,0,4
014363,市立光復高中,2,2,1,0,0,0
014364,市立竹圍高中,3,2,1,0,0,0
014381,市立北大高級中學,6,5,0,0,0,0
020301,國立蘭陽女中,19,14,12,0,0,18
020302,國立宜蘭高中,14,17,17,0,0,21
020308,國立羅東高中,18,15,18,0,0,15
021301,私立慧燈高中,5,0,1,0,0,4
021310,私立中道高中,13,11,12,0,0,4
024322,縣立南澳高中,72,48,45,0,0,58
024325,縣立慈心華德福實中,1,1,0,0,0,0
030302,國立龍潭高中,20,25,20,0,0,20
030304,國立桃園高中,30,19,25,0,0,17
030305,國立中央大學附屬中壢高中,20,18,20,0,0,12
030306,國立武陵高中,21,10,18,0,0,18
030316,國立楊梅高中,8,11,14,0,0,11
030325,國立陽明高中,22,11,18,0,0,15
030327,國立內壢高中,13,17,20,0,0,11
031301,私立泉僑高中,11,12,7,0,4,12
031309,私立育達高中,92,72,73,0,0,70
031310,私立六和高中,6,5,4,0,0,4
031311,私立復旦高中,4,5,7,0,0,6
031312,私立治平高中,105,71,76,0,0,52
031313,私立振聲高中,41,32,30,0,0,28
031317,私立光啟高中,48,47,55,0,4,49
031318,私立啟英高中,157,155,157,0,0,129
031319,私立清華高中,13,15,13,0,0,19
031320,私立新興高中,53,51,45,0,0,71
031323,私立至善高中,101,88,59,0,0,70
031324,私立大興高中,58,36,40,0,0,50
031326,私立大華高中,1,0,0,0,0,1
034306,市立南崁高中,25,20,12,0,0,19
034312,市立大溪高中,25,19,25,0,0,20
034314,市立壽山高中,28,28,34,0,0,27
034319,市立平鎮高中,28,30,19,0,0,29
